round,prediction,actual,result,bet,profit,balance
1,閒,莊,輸,100,-100.0,-100.0
2,閒,莊,輸,100,-100.0,-200.0
3,閒,莊,輸,100,-100.0,-300.0
4,閒,莊,輸,100,-100.0,-400.0
5,閒,閒,贏,100,100.0,-300.0
6,莊,閒,輸,100,-100.0,-400.0
7,莊,閒,輸,100,-100.0,-500.0
8,莊,閒,輸,100,-100.0,-600.0
9,莊,閒,輸,100,-100.0,-700.0
10,莊,莊,贏,100,95.0,-605.0
11,閒,莊,輸,100,-100.0,-705.0
12,閒,和,和局,0,0.0,-705.0
13,閒,莊,輸,100,-100.0,-805.0
14,閒,閒,贏,100,100.0,-705.0
15,莊,閒,輸,100,-100.0,-805.0
16,莊,閒,輸,100,-100.0,-905.0
17,莊,莊,贏,100,95.0,-810.0
18,閒,閒,贏,100,100.0,-710.0
19,莊,莊,贏,100,95.0,-615.0
20,閒,閒,贏,100,100.0,-515.0
21,莊,閒,輸,100,-100.0,-615.0
22,莊,莊,贏,100,95.0,-520.0
23,閒,莊,輸,100,-100.0,-620.0
24,閒,莊,輸,100,-100.0,-720.0
25,閒,閒,贏,100,100.0,-620.0
26,莊,莊,贏,100,95.0,-525.0
27,閒,閒,贏,100,100.0,-425.0
28,莊,莊,贏,100,95.0,-330.0
29,閒,閒,贏,100,100.0,-230.0
30,莊,莊,贏,100,95.0,-135.0
31,閒,閒,贏,100,100.0,-35.0
32,莊,閒,輸,100,-100.0,-135.0
33,莊,閒,輸,100,-100.0,-235.0
34,莊,和,和局,0,0.0,-235.0
35,莊,和,和局,0,0.0,-235.0
36,莊,和,和局,0,0.0,-235.0
37,莊,和,和局,0,0.0,-235.0
38,莊,莊,贏,100,95.0,-140.0
39,閒,閒,贏,100,100.0,-40.0
40,莊,閒,輸,100,-100.0,-140.0
41,莊,莊,贏,100,95.0,-45.0
42,閒,和,和局,0,0.0,-45.0
43,閒,閒,贏,100,100.0,55.0
44,莊,和,和局,0,0.0,55.0
45,莊,莊,贏,100,95.0,150.0
46,閒,閒,贏,100,100.0,250.0
47,莊,閒,輸,100,-100.0,150.0
48,莊,和,和局,0,0.0,150.0
49,莊,閒,輸,100,-100.0,50.0
50,莊,莊,贏,100,95.0,145.0
51,閒,閒,贏,100,100.0,245.0
52,莊,莊,贏,100,95.0,340.0
53,閒,閒,贏,100,100.0,440.0
54,莊,莊,贏,100,95.0,535.0
55,閒,莊,輸,100,-100.0,435.0
56,閒,莊,輸,100,-100.0,335.0
57,閒,莊,輸,100,-100.0,235.0
58,閒,閒,贏,100,100.0,335.0
59,莊,莊,贏,100,95.0,430.0
60,閒,和,和局,0,0.0,430.0
61,閒,莊,輸,100,-100.0,330.0
62,閒,閒,贏,100,100.0,430.0
63,莊,莊,贏,100,95.0,525.0
64,閒,閒,贏,100,100.0,625.0
65,莊,和,和局,0,0.0,625.0
66,莊,莊,贏,100,95.0,720.0
67,閒,莊,輸,100,-100.0,620.0
68,閒,莊,輸,100,-100.0,520.0
69,閒,和,和局,0,0.0,520.0
70,閒,莊,輸,100,-100.0,420.0
71,閒,莊,輸,100,-100.0,320.0
72,閒,莊,輸,100,-100.0,220.0
73,閒,莊,輸,100,-100.0,120.0
74,閒,莊,輸,100,-100.0,20.0
75,閒,莊,輸,100,-100.0,-80.0
76,閒,閒,贏,100,100.0,20.0
77,莊,閒,輸,100,-100.0,-80.0
78,莊,莊,贏,100,95.0,15.0
79,閒,閒,贏,100,100.0,115.0
80,莊,莊,贏,100,95.0,210.0
81,閒,莊,輸,100,-100.0,110.0
82,閒,閒,贏,100,100.0,210.0
83,莊,閒,輸,100,-100.0,110.0
84,莊,莊,贏,100,95.0,205.0
85,閒,莊,輸,100,-100.0,105.0
86,閒,莊,輸,100,-100.0,5.0
87,閒,閒,贏,100,100.0,105.0
88,莊,閒,輸,100,-100.0,5.0
89,莊,莊,贏,100,95.0,100.0
90,閒,莊,輸,100,-100.0,0.0
91,閒,莊,輸,100,-100.0,-100.0
92,閒,莊,輸,100,-100.0,-200.0
93,閒,閒,贏,100,100.0,-100.0
94,莊,閒,輸,100,-100.0,-200.0
95,莊,莊,贏,100,95.0,-105.0
96,閒,閒,贏,100,100.0,-5.0
97,莊,閒,輸,100,-100.0,-105.0
98,莊,莊,贏,100,95.0,-10.0
99,閒,莊,輸,100,-100.0,-110.0
100,閒,閒,贏,100,100.0,-10.0
101,莊,莊,贏,100,95.0,85.0
102,閒,和,和局,0,0.0,85.0
103,閒,莊,輸,100,-100.0,-15.0
104,閒,莊,輸,100,-100.0,-115.0
105,閒,和,和局,0,0.0,-115.0
106,閒,閒,贏,100,100.0,-15.0
107,莊,和,和局,0,0.0,-15.0
108,莊,閒,輸,100,-100.0,-115.0
109,莊,閒,輸,100,-100.0,-215.0
110,莊,莊,贏,100,95.0,-120.0
111,閒,莊,輸,100,-100.0,-220.0
112,閒,閒,贏,100,100.0,-120.0
113,莊,閒,輸,100,-100.0,-220.0
114,莊,閒,輸,100,-100.0,-320.0
115,莊,和,和局,0,0.0,-320.0
116,莊,莊,贏,100,95.0,-225.0
117,閒,莊,輸,100,-100.0,-325.0
118,閒,閒,贏,100,100.0,-225.0
119,莊,莊,贏,100,95.0,-130.0
120,閒,莊,輸,100,-100.0,-230.0
121,閒,閒,贏,100,100.0,-130.0
122,莊,閒,輸,100,-100.0,-230.0
123,莊,莊,贏,100,95.0,-135.0
124,閒,莊,輸,100,-100.0,-235.0
125,閒,莊,輸,100,-100.0,-335.0
126,閒,閒,贏,100,100.0,-235.0
127,莊,閒,輸,100,-100.0,-335.0
128,莊,閒,輸,100,-100.0,-435.0
129,莊,莊,贏,100,95.0,-340.0
130,閒,和,和局,0,0.0,-340.0
131,閒,閒,贏,100,100.0,-240.0
132,莊,莊,贏,100,95.0,-145.0
133,閒,莊,輸,100,-100.0,-245.0
134,閒,閒,贏,100,100.0,-145.0
135,莊,閒,輸,100,-100.0,-245.0
136,莊,莊,贏,100,95.0,-150.0
137,閒,閒,贏,100,100.0,-50.0
138,莊,莊,贏,100,95.0,45.0
139,閒,莊,輸,100,-100.0,-55.0
140,閒,閒,贏,100,100.0,45.0
141,莊,閒,輸,100,-100.0,-55.0
142,莊,莊,贏,100,95.0,40.0
143,閒,莊,輸,100,-100.0,-60.0
144,閒,閒,贏,100,100.0,40.0
145,莊,閒,輸,100,-100.0,-60.0
146,莊,閒,輸,100,-100.0,-160.0
147,莊,閒,輸,100,-100.0,-260.0
148,莊,閒,輸,100,-100.0,-360.0
149,莊,莊,贏,100,95.0,-265.0
150,閒,閒,贏,100,100.0,-165.0
151,莊,閒,輸,100,-100.0,-265.0
152,莊,閒,輸,100,-100.0,-365.0
153,莊,和,和局,0,0.0,-365.0
154,莊,莊,贏,100,95.0,-270.0
155,閒,莊,輸,100,-100.0,-370.0
156,閒,莊,輸,100,-100.0,-470.0
157,閒,莊,輸,100,-100.0,-570.0
158,閒,閒,贏,100,100.0,-470.0
159,莊,閒,輸,100,-100.0,-570.0
160,莊,閒,輸,100,-100.0,-670.0
161,莊,閒,輸,100,-100.0,-770.0
162,莊,閒,輸,100,-100.0,-870.0
163,莊,莊,贏,100,95.0,-775.0
164,閒,莊,輸,100,-100.0,-875.0
165,閒,莊,輸,100,-100.0,-975.0
