round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,閒,莊,輸,100,-100.0,185.0
5,閒,閒,贏,100,100.0,285.0
6,莊,閒,輸,100,-100.0,185.0
7,莊,閒,輸,100,-100.0,85.0
8,莊,閒,輸,100,-100.0,-15.0
9,莊,閒,輸,100,-100.0,-115.0
10,莊,莊,贏,100,95.0,-20.0
11,莊,莊,贏,100,95.0,75.0
12,莊,和,和局,0,0.0,75.0
13,莊,莊,贏,100,95.0,170.0
14,閒,閒,贏,100,100.0,270.0
15,莊,閒,輸,100,-100.0,170.0
16,莊,閒,輸,100,-100.0,70.0
17,莊,莊,贏,100,95.0,165.0
18,莊,閒,輸,100,-100.0,65.0
19,莊,莊,贏,100,95.0,160.0
20,莊,閒,輸,100,-100.0,60.0
21,莊,閒,輸,100,-100.0,-40.0
22,莊,莊,贏,100,95.0,55.0
23,莊,莊,贏,100,95.0,150.0
24,莊,莊,贏,100,95.0,245.0
25,閒,閒,贏,100,100.0,345.0
26,莊,莊,贏,100,95.0,440.0
27,莊,閒,輸,100,-100.0,340.0
28,莊,莊,贏,100,95.0,435.0
29,莊,閒,輸,100,-100.0,335.0
30,莊,莊,贏,100,95.0,430.0
31,莊,閒,輸,100,-100.0,330.0
32,莊,閒,輸,100,-100.0,230.0
33,莊,閒,輸,100,-100.0,130.0
34,莊,和,和局,0,0.0,130.0
35,莊,和,和局,0,0.0,130.0
36,莊,和,和局,0,0.0,130.0
37,莊,和,和局,0,0.0,130.0
38,莊,莊,贏,100,95.0,225.0
39,莊,閒,輸,100,-100.0,125.0
40,莊,閒,輸,100,-100.0,25.0
41,莊,莊,贏,100,95.0,120.0
42,莊,和,和局,0,0.0,120.0
43,莊,閒,輸,100,-100.0,20.0
44,莊,和,和局,0,0.0,20.0
45,莊,莊,贏,100,95.0,115.0
46,莊,閒,輸,100,-100.0,15.0
47,莊,閒,輸,100,-100.0,-85.0
48,莊,和,和局,0,0.0,-85.0
49,莊,閒,輸,100,-100.0,-185.0
50,莊,莊,贏,100,95.0,-90.0
51,莊,閒,輸,100,-100.0,-190.0
52,莊,莊,贏,100,95.0,-95.0
53,莊,閒,輸,100,-100.0,-195.0
54,莊,莊,贏,100,95.0,-100.0
55,莊,莊,贏,100,95.0,-5.0
56,莊,莊,贏,100,95.0,90.0
57,閒,莊,輸,100,-100.0,-10.0
58,閒,閒,贏,100,100.0,90.0
59,莊,莊,贏,100,95.0,185.0
60,莊,和,和局,0,0.0,185.0
61,莊,莊,贏,100,95.0,280.0
62,莊,閒,輸,100,-100.0,180.0
63,莊,莊,贏,100,95.0,275.0
64,莊,閒,輸,100,-100.0,175.0
65,莊,和,和局,0,0.0,175.0
66,莊,莊,贏,100,95.0,270.0
67,莊,莊,贏,100,95.0,365.0
68,莊,莊,贏,100,95.0,460.0
69,閒,和,和局,0,0.0,460.0
70,閒,莊,輸,100,-100.0,360.0
71,閒,莊,輸,100,-100.0,260.0
72,閒,莊,輸,100,-100.0,160.0
73,閒,莊,輸,100,-100.0,60.0
74,閒,莊,輸,100,-100.0,-40.0
75,閒,莊,輸,100,-100.0,-140.0
76,閒,閒,贏,100,100.0,-40.0
77,莊,閒,輸,100,-100.0,-140.0
78,莊,莊,贏,100,95.0,-45.0
79,莊,閒,輸,100,-100.0,-145.0
80,莊,莊,贏,100,95.0,-50.0
81,莊,莊,贏,100,95.0,45.0
82,莊,閒,輸,100,-100.0,-55.0
83,莊,閒,輸,100,-100.0,-155.0
84,莊,莊,贏,100,95.0,-60.0
85,莊,莊,贏,100,95.0,35.0
86,莊,莊,贏,100,95.0,130.0
87,閒,閒,贏,100,100.0,230.0
88,莊,閒,輸,100,-100.0,130.0
89,莊,莊,贏,100,95.0,225.0
90,莊,莊,贏,100,95.0,320.0
91,莊,莊,贏,100,95.0,415.0
92,閒,莊,輸,100,-100.0,315.0
93,閒,閒,贏,100,100.0,415.0
94,莊,閒,輸,100,-100.0,315.0
95,莊,莊,贏,100,95.0,410.0
96,莊,閒,輸,100,-100.0,310.0
97,莊,閒,輸,100,-100.0,210.0
98,莊,莊,贏,100,95.0,305.0
99,莊,莊,贏,100,95.0,400.0
100,莊,閒,輸,100,-100.0,300.0
101,莊,莊,贏,100,95.0,395.0
102,莊,和,和局,0,0.0,395.0
103,莊,莊,贏,100,95.0,490.0
104,莊,莊,贏,100,95.0,585.0
105,閒,和,和局,0,0.0,585.0
106,閒,閒,贏,100,100.0,685.0
107,莊,和,和局,0,0.0,685.0
108,莊,閒,輸,100,-100.0,585.0
109,莊,閒,輸,100,-100.0,485.0
110,莊,莊,贏,100,95.0,580.0
111,莊,莊,贏,100,95.0,675.0
112,莊,閒,輸,100,-100.0,575.0
113,莊,閒,輸,100,-100.0,475.0
114,莊,閒,輸,100,-100.0,375.0
115,莊,和,和局,0,0.0,375.0
116,莊,莊,贏,100,95.0,470.0
117,莊,莊,贏,100,95.0,565.0
118,莊,閒,輸,100,-100.0,465.0
119,莊,莊,贏,100,95.0,560.0
120,莊,莊,贏,100,95.0,655.0
121,莊,閒,輸,100,-100.0,555.0
122,莊,閒,輸,100,-100.0,455.0
123,莊,莊,贏,100,95.0,550.0
124,莊,莊,贏,100,95.0,645.0
125,莊,莊,贏,100,95.0,740.0
126,閒,閒,贏,100,100.0,840.0
127,莊,閒,輸,100,-100.0,740.0
128,莊,閒,輸,100,-100.0,640.0
129,莊,莊,贏,100,95.0,735.0
130,莊,和,和局,0,0.0,735.0
131,莊,閒,輸,100,-100.0,635.0
132,莊,莊,贏,100,95.0,730.0
133,莊,莊,贏,100,95.0,825.0
134,莊,閒,輸,100,-100.0,725.0
135,莊,閒,輸,100,-100.0,625.0
136,莊,莊,贏,100,95.0,720.0
137,莊,閒,輸,100,-100.0,620.0
138,莊,莊,贏,100,95.0,715.0
139,莊,莊,贏,100,95.0,810.0
140,莊,閒,輸,100,-100.0,710.0
141,莊,閒,輸,100,-100.0,610.0
142,莊,莊,贏,100,95.0,705.0
143,莊,莊,贏,100,95.0,800.0
144,莊,閒,輸,100,-100.0,700.0
145,莊,閒,輸,100,-100.0,600.0
146,莊,閒,輸,100,-100.0,500.0
147,莊,閒,輸,100,-100.0,400.0
148,莊,閒,輸,100,-100.0,300.0
149,莊,莊,贏,100,95.0,395.0
150,莊,閒,輸,100,-100.0,295.0
151,莊,閒,輸,100,-100.0,195.0
152,莊,閒,輸,100,-100.0,95.0
153,莊,和,和局,0,0.0,95.0
154,莊,莊,贏,100,95.0,190.0
155,莊,莊,贏,100,95.0,285.0
156,莊,莊,贏,100,95.0,380.0
157,閒,莊,輸,100,-100.0,280.0
158,閒,閒,贏,100,100.0,380.0
159,莊,閒,輸,100,-100.0,280.0
160,莊,閒,輸,100,-100.0,180.0
161,莊,閒,輸,100,-100.0,80.0
162,莊,閒,輸,100,-100.0,-20.0
163,莊,莊,贏,100,95.0,75.0
164,莊,莊,贏,100,95.0,170.0
165,莊,莊,贏,100,95.0,265.0
166,閒,閒,贏,100,100.0,365.0
167,莊,莊,贏,100,95.0,460.0
168,莊,莊,贏,100,95.0,555.0
169,莊,莊,贏,100,95.0,650.0
170,閒,閒,贏,100,100.0,750.0
171,莊,莊,贏,100,95.0,845.0
172,莊,閒,輸,100,-100.0,745.0
173,莊,莊,贏,100,95.0,840.0
174,莊,閒,輸,100,-100.0,740.0
175,莊,閒,輸,100,-100.0,640.0
176,莊,閒,輸,100,-100.0,540.0
177,莊,莊,贏,100,95.0,635.0
178,莊,閒,輸,100,-100.0,535.0
179,莊,莊,贏,100,95.0,630.0
180,莊,莊,贏,100,95.0,725.0
181,莊,莊,贏,100,95.0,820.0
182,閒,莊,輸,100,-100.0,720.0
183,閒,閒,贏,100,100.0,820.0
184,莊,莊,贏,100,95.0,915.0
185,莊,莊,贏,100,95.0,1010.0
186,莊,閒,輸,100,-100.0,910.0
187,莊,莊,贏,100,95.0,1005.0
188,莊,莊,贏,100,95.0,1100.0
189,莊,莊,贏,100,95.0,1195.0
190,閒,閒,贏,100,100.0,1295.0
191,莊,和,和局,0,0.0,1295.0
