round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,閒,閒,贏,100,100.0,380.0
7,閒,閒,贏,100,100.0,480.0
8,閒,閒,贏,100,100.0,580.0
9,閒,閒,贏,100,100.0,680.0
10,閒,莊,輸,100,-100.0,580.0
11,莊,莊,贏,100,95.0,675.0
12,莊,和,和局,0,0.0,675.0
13,莊,莊,贏,100,95.0,770.0
14,莊,閒,輸,100,-100.0,670.0
15,閒,閒,贏,100,100.0,770.0
16,閒,閒,贏,100,100.0,870.0
17,閒,莊,輸,100,-100.0,770.0
18,莊,閒,輸,100,-100.0,670.0
19,莊,莊,贏,100,95.0,765.0
20,閒,閒,贏,100,100.0,865.0
21,莊,閒,輸,100,-100.0,765.0
22,閒,莊,輸,100,-100.0,665.0
23,莊,莊,贏,100,95.0,760.0
24,閒,莊,輸,100,-100.0,660.0
25,莊,閒,輸,100,-100.0,560.0
26,閒,莊,輸,100,-100.0,460.0
27,閒,閒,贏,100,100.0,560.0
28,莊,莊,贏,100,95.0,655.0
29,閒,閒,贏,100,100.0,755.0
30,莊,莊,贏,100,95.0,850.0
31,閒,閒,贏,100,100.0,950.0
32,莊,閒,輸,100,-100.0,850.0
33,閒,閒,贏,100,100.0,950.0
34,閒,和,和局,0,0.0,950.0
35,閒,和,和局,0,0.0,950.0
36,閒,和,和局,0,0.0,950.0
37,閒,和,和局,0,0.0,950.0
38,閒,莊,輸,100,-100.0,850.0
39,莊,閒,輸,100,-100.0,750.0
40,莊,閒,輸,100,-100.0,650.0
41,閒,莊,輸,100,-100.0,550.0
42,莊,和,和局,0,0.0,550.0
43,莊,閒,輸,100,-100.0,450.0
44,莊,和,和局,0,0.0,450.0
45,莊,莊,贏,100,95.0,545.0
46,閒,閒,贏,100,100.0,645.0
47,莊,閒,輸,100,-100.0,545.0
48,閒,和,和局,0,0.0,545.0
49,閒,閒,贏,100,100.0,645.0
50,閒,莊,輸,100,-100.0,545.0
51,莊,閒,輸,100,-100.0,445.0
52,莊,莊,贏,100,95.0,540.0
53,閒,閒,贏,100,100.0,640.0
54,莊,莊,贏,100,95.0,735.0
55,閒,莊,輸,100,-100.0,635.0
56,莊,莊,贏,100,95.0,730.0
57,莊,莊,贏,100,95.0,825.0
58,莊,閒,輸,100,-100.0,725.0
59,閒,莊,輸,100,-100.0,625.0
60,閒,和,和局,0,0.0,625.0
61,閒,莊,輸,100,-100.0,525.0
62,莊,閒,輸,100,-100.0,425.0
63,閒,莊,輸,100,-100.0,325.0
64,閒,閒,贏,100,100.0,425.0
65,莊,和,和局,0,0.0,425.0
66,莊,莊,贏,100,95.0,520.0
67,閒,莊,輸,100,-100.0,420.0
68,莊,莊,贏,100,95.0,515.0
69,莊,和,和局,0,0.0,515.0
70,莊,莊,贏,100,95.0,610.0
71,莊,莊,贏,100,95.0,705.0
72,莊,莊,贏,100,95.0,800.0
73,莊,莊,贏,100,95.0,895.0
74,莊,莊,贏,100,95.0,990.0
75,莊,莊,贏,100,95.0,1085.0
76,莊,閒,輸,100,-100.0,985.0
77,閒,閒,贏,100,100.0,1085.0
78,閒,莊,輸,100,-100.0,985.0
79,莊,閒,輸,100,-100.0,885.0
80,莊,莊,贏,100,95.0,980.0
81,閒,莊,輸,100,-100.0,880.0
82,莊,閒,輸,100,-100.0,780.0
83,閒,閒,贏,100,100.0,880.0
84,莊,莊,贏,100,95.0,975.0
85,莊,莊,贏,100,95.0,1070.0
86,閒,莊,輸,100,-100.0,970.0
87,莊,閒,輸,100,-100.0,870.0
88,閒,閒,贏,100,100.0,970.0
89,閒,莊,輸,100,-100.0,870.0
90,莊,莊,贏,100,95.0,965.0
91,閒,莊,輸,100,-100.0,865.0
92,莊,莊,贏,100,95.0,960.0
93,莊,閒,輸,100,-100.0,860.0
94,閒,閒,贏,100,100.0,960.0
95,閒,莊,輸,100,-100.0,860.0
96,莊,閒,輸,100,-100.0,760.0
97,莊,閒,輸,100,-100.0,660.0
98,閒,莊,輸,100,-100.0,560.0
99,莊,莊,贏,100,95.0,655.0
100,閒,閒,贏,100,100.0,755.0
101,閒,莊,輸,100,-100.0,655.0
102,閒,和,和局,0,0.0,655.0
103,閒,莊,輸,100,-100.0,555.0
104,莊,莊,贏,100,95.0,650.0
105,莊,和,和局,0,0.0,650.0
106,莊,閒,輸,100,-100.0,550.0
107,閒,和,和局,0,0.0,550.0
108,閒,閒,贏,100,100.0,650.0
109,閒,閒,贏,100,100.0,750.0
110,閒,莊,輸,100,-100.0,650.0
111,莊,莊,贏,100,95.0,745.0
112,莊,閒,輸,100,-100.0,645.0
113,閒,閒,贏,100,100.0,745.0
114,莊,閒,輸,100,-100.0,645.0
115,閒,和,和局,0,0.0,645.0
116,閒,莊,輸,100,-100.0,545.0
117,莊,莊,贏,100,95.0,640.0
118,莊,閒,輸,100,-100.0,540.0
119,閒,莊,輸,100,-100.0,440.0
120,閒,莊,輸,100,-100.0,340.0
121,莊,閒,輸,100,-100.0,240.0
122,閒,閒,贏,100,100.0,340.0
123,莊,莊,贏,100,95.0,435.0
124,莊,莊,贏,100,95.0,530.0
125,閒,莊,輸,100,-100.0,430.0
126,莊,閒,輸,100,-100.0,330.0
127,閒,閒,贏,100,100.0,430.0
128,閒,閒,贏,100,100.0,530.0
129,閒,莊,輸,100,-100.0,430.0
130,莊,和,和局,0,0.0,430.0
131,莊,閒,輸,100,-100.0,330.0
132,莊,莊,贏,100,95.0,425.0
133,閒,莊,輸,100,-100.0,325.0
134,莊,閒,輸,100,-100.0,225.0
135,閒,閒,贏,100,100.0,325.0
136,莊,莊,贏,100,95.0,420.0
137,莊,閒,輸,100,-100.0,320.0
138,莊,莊,贏,100,95.0,415.0
139,閒,莊,輸,100,-100.0,315.0
140,莊,閒,輸,100,-100.0,215.0
141,閒,閒,贏,100,100.0,315.0
142,莊,莊,贏,100,95.0,410.0
143,莊,莊,贏,100,95.0,505.0
144,閒,閒,贏,100,100.0,605.0
145,閒,閒,贏,100,100.0,705.0
146,莊,閒,輸,100,-100.0,605.0
147,閒,閒,贏,100,100.0,705.0
148,閒,閒,贏,100,100.0,805.0
149,閒,莊,輸,100,-100.0,705.0
150,莊,閒,輸,100,-100.0,605.0
151,莊,閒,輸,100,-100.0,505.0
152,閒,閒,贏,100,100.0,605.0
153,閒,和,和局,0,0.0,605.0
154,閒,莊,輸,100,-100.0,505.0
155,莊,莊,贏,100,95.0,600.0
156,莊,莊,贏,100,95.0,695.0
157,莊,莊,贏,100,95.0,790.0
158,莊,閒,輸,100,-100.0,690.0
159,閒,閒,贏,100,100.0,790.0
160,閒,閒,贏,100,100.0,890.0
161,閒,閒,贏,100,100.0,990.0
162,閒,閒,贏,100,100.0,1090.0
163,閒,莊,輸,100,-100.0,990.0
164,莊,莊,贏,100,95.0,1085.0
165,莊,莊,贏,100,95.0,1180.0
166,莊,閒,輸,100,-100.0,1080.0
167,閒,莊,輸,100,-100.0,980.0
168,閒,莊,輸,100,-100.0,880.0
169,莊,莊,贏,100,95.0,975.0
170,莊,閒,輸,100,-100.0,875.0
171,閒,莊,輸,100,-100.0,775.0
172,閒,閒,贏,100,100.0,875.0
173,莊,莊,贏,100,95.0,970.0
174,閒,閒,贏,100,100.0,1070.0
175,莊,閒,輸,100,-100.0,970.0
176,閒,閒,贏,100,100.0,1070.0
177,閒,莊,輸,100,-100.0,970.0
178,莊,閒,輸,100,-100.0,870.0
179,莊,莊,贏,100,95.0,965.0
180,閒,莊,輸,100,-100.0,865.0
181,莊,莊,贏,100,95.0,960.0
182,莊,莊,贏,100,95.0,1055.0
183,莊,閒,輸,100,-100.0,955.0
184,閒,莊,輸,100,-100.0,855.0
185,閒,莊,輸,100,-100.0,755.0
186,莊,閒,輸,100,-100.0,655.0
187,閒,莊,輸,100,-100.0,555.0
188,閒,莊,輸,100,-100.0,455.0
189,莊,莊,贏,100,95.0,550.0
190,莊,閒,輸,100,-100.0,450.0
191,閒,和,和局,0,0.0,450.0
192,閒,莊,輸,100,-100.0,350.0
