round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,閒,閒,贏,100,100.0,380.0
7,閒,閒,贏,100,100.0,480.0
8,閒,閒,贏,100,100.0,580.0
9,閒,閒,贏,100,100.0,680.0
10,閒,莊,輸,100,-100.0,580.0
11,莊,莊,贏,100,95.0,675.0
12,莊,和,和局,0,0.0,675.0
13,莊,莊,贏,100,95.0,770.0
14,莊,閒,輸,100,-100.0,670.0
15,閒,閒,贏,100,100.0,770.0
16,閒,閒,贏,100,100.0,870.0
17,閒,莊,輸,100,-100.0,770.0
18,莊,閒,輸,100,-100.0,670.0
19,閒,莊,輸,100,-100.0,570.0
20,莊,閒,輸,100,-100.0,470.0
21,閒,閒,贏,100,100.0,570.0
22,閒,莊,輸,100,-100.0,470.0
23,莊,莊,贏,100,95.0,565.0
24,莊,莊,贏,100,95.0,660.0
25,莊,閒,輸,100,-100.0,560.0
26,閒,莊,輸,100,-100.0,460.0
27,莊,閒,輸,100,-100.0,360.0
28,閒,莊,輸,100,-100.0,260.0
29,莊,閒,輸,100,-100.0,160.0
30,閒,莊,輸,100,-100.0,60.0
31,莊,閒,輸,100,-100.0,-40.0
32,閒,閒,贏,100,100.0,60.0
33,閒,閒,贏,100,100.0,160.0
34,閒,和,和局,0,0.0,160.0
35,閒,和,和局,0,0.0,160.0
36,閒,和,和局,0,0.0,160.0
37,閒,和,和局,0,0.0,160.0
38,閒,莊,輸,100,-100.0,60.0
39,莊,閒,輸,100,-100.0,-40.0
40,閒,閒,贏,100,100.0,60.0
41,閒,莊,輸,100,-100.0,-40.0
42,莊,和,和局,0,0.0,-40.0
43,莊,閒,輸,100,-100.0,-140.0
44,閒,和,和局,0,0.0,-140.0
45,閒,莊,輸,100,-100.0,-240.0
46,莊,閒,輸,100,-100.0,-340.0
47,閒,閒,贏,100,100.0,-240.0
48,閒,和,和局,0,0.0,-240.0
49,閒,閒,贏,100,100.0,-140.0
50,閒,莊,輸,100,-100.0,-240.0
51,莊,閒,輸,100,-100.0,-340.0
52,閒,莊,輸,100,-100.0,-440.0
53,莊,閒,輸,100,-100.0,-540.0
54,閒,莊,輸,100,-100.0,-640.0
55,莊,莊,贏,100,95.0,-545.0
56,莊,莊,贏,100,95.0,-450.0
57,莊,莊,贏,100,95.0,-355.0
58,莊,閒,輸,100,-100.0,-455.0
59,閒,莊,輸,100,-100.0,-555.0
60,莊,和,和局,0,0.0,-555.0
61,莊,莊,贏,100,95.0,-460.0
62,莊,閒,輸,100,-100.0,-560.0
63,閒,莊,輸,100,-100.0,-660.0
64,莊,閒,輸,100,-100.0,-760.0
65,閒,和,和局,0,0.0,-760.0
66,閒,莊,輸,100,-100.0,-860.0
67,莊,莊,贏,100,95.0,-765.0
68,莊,莊,贏,100,95.0,-670.0
69,莊,和,和局,0,0.0,-670.0
70,莊,莊,贏,100,95.0,-575.0
71,莊,莊,贏,100,95.0,-480.0
72,莊,莊,贏,100,95.0,-385.0
73,莊,莊,贏,100,95.0,-290.0
74,莊,莊,贏,100,95.0,-195.0
75,莊,莊,贏,100,95.0,-100.0
76,莊,閒,輸,100,-100.0,-200.0
77,閒,閒,贏,100,100.0,-100.0
78,閒,莊,輸,100,-100.0,-200.0
79,莊,閒,輸,100,-100.0,-300.0
80,閒,莊,輸,100,-100.0,-400.0
81,莊,莊,贏,100,95.0,-305.0
82,莊,閒,輸,100,-100.0,-405.0
83,閒,閒,贏,100,100.0,-305.0
84,閒,莊,輸,100,-100.0,-405.0
85,莊,莊,贏,100,95.0,-310.0
86,莊,莊,贏,100,95.0,-215.0
87,莊,閒,輸,100,-100.0,-315.0
88,閒,閒,贏,100,100.0,-215.0
89,閒,莊,輸,100,-100.0,-315.0
90,莊,莊,贏,100,95.0,-220.0
91,莊,莊,贏,100,95.0,-125.0
92,莊,莊,贏,100,95.0,-30.0
93,莊,閒,輸,100,-100.0,-130.0
94,閒,閒,贏,100,100.0,-30.0
95,閒,莊,輸,100,-100.0,-130.0
96,莊,閒,輸,100,-100.0,-230.0
97,閒,閒,贏,100,100.0,-130.0
98,閒,莊,輸,100,-100.0,-230.0
99,莊,莊,贏,100,95.0,-135.0
100,莊,閒,輸,100,-100.0,-235.0
101,閒,莊,輸,100,-100.0,-335.0
102,莊,和,和局,0,0.0,-335.0
103,莊,莊,贏,100,95.0,-240.0
104,莊,莊,贏,100,95.0,-145.0
105,莊,和,和局,0,0.0,-145.0
106,莊,閒,輸,100,-100.0,-245.0
107,閒,和,和局,0,0.0,-245.0
108,閒,閒,贏,100,100.0,-145.0
109,閒,閒,贏,100,100.0,-45.0
110,閒,莊,輸,100,-100.0,-145.0
111,莊,莊,贏,100,95.0,-50.0
112,莊,閒,輸,100,-100.0,-150.0
113,閒,閒,贏,100,100.0,-50.0
114,閒,閒,贏,100,100.0,50.0
115,閒,和,和局,0,0.0,50.0
116,閒,莊,輸,100,-100.0,-50.0
117,莊,莊,贏,100,95.0,45.0
118,莊,閒,輸,100,-100.0,-55.0
119,閒,莊,輸,100,-100.0,-155.0
120,莊,莊,贏,100,95.0,-60.0
121,莊,閒,輸,100,-100.0,-160.0
122,閒,閒,贏,100,100.0,-60.0
123,閒,莊,輸,100,-100.0,-160.0
124,莊,莊,贏,100,95.0,-65.0
125,莊,莊,贏,100,95.0,30.0
126,莊,閒,輸,100,-100.0,-70.0
127,閒,閒,贏,100,100.0,30.0
128,閒,閒,贏,100,100.0,130.0
129,閒,莊,輸,100,-100.0,30.0
130,莊,和,和局,0,0.0,30.0
131,莊,閒,輸,100,-100.0,-70.0
132,閒,莊,輸,100,-100.0,-170.0
133,莊,莊,贏,100,95.0,-75.0
134,莊,閒,輸,100,-100.0,-175.0
135,閒,閒,贏,100,100.0,-75.0
136,閒,莊,輸,100,-100.0,-175.0
137,莊,閒,輸,100,-100.0,-275.0
138,閒,莊,輸,100,-100.0,-375.0
139,莊,莊,贏,100,95.0,-280.0
140,莊,閒,輸,100,-100.0,-380.0
141,閒,閒,贏,100,100.0,-280.0
142,閒,莊,輸,100,-100.0,-380.0
143,莊,莊,贏,100,95.0,-285.0
144,莊,閒,輸,100,-100.0,-385.0
145,閒,閒,贏,100,100.0,-285.0
146,閒,閒,贏,100,100.0,-185.0
147,閒,閒,贏,100,100.0,-85.0
148,閒,閒,贏,100,100.0,15.0
149,閒,莊,輸,100,-100.0,-85.0
150,莊,閒,輸,100,-100.0,-185.0
151,閒,閒,贏,100,100.0,-85.0
152,閒,閒,贏,100,100.0,15.0
153,閒,和,和局,0,0.0,15.0
154,閒,莊,輸,100,-100.0,-85.0
155,莊,莊,贏,100,95.0,10.0
156,莊,莊,贏,100,95.0,105.0
157,莊,莊,贏,100,95.0,200.0
158,莊,閒,輸,100,-100.0,100.0
159,閒,閒,贏,100,100.0,200.0
160,閒,閒,贏,100,100.0,300.0
161,閒,閒,贏,100,100.0,400.0
162,閒,閒,贏,100,100.0,500.0
163,閒,莊,輸,100,-100.0,400.0
164,莊,莊,贏,100,95.0,495.0
165,莊,莊,贏,100,95.0,590.0
166,莊,閒,輸,100,-100.0,490.0
167,閒,莊,輸,100,-100.0,390.0
168,莊,莊,贏,100,95.0,485.0
169,莊,莊,贏,100,95.0,580.0
170,莊,閒,輸,100,-100.0,480.0
171,閒,莊,輸,100,-100.0,380.0
172,莊,閒,輸,100,-100.0,280.0
173,閒,莊,輸,100,-100.0,180.0
174,莊,閒,輸,100,-100.0,80.0
175,閒,閒,贏,100,100.0,180.0
176,閒,閒,贏,100,100.0,280.0
177,閒,莊,輸,100,-100.0,180.0
178,莊,閒,輸,100,-100.0,80.0
179,閒,莊,輸,100,-100.0,-20.0
180,莊,莊,贏,100,95.0,75.0
181,莊,莊,贏,100,95.0,170.0
182,莊,莊,贏,100,95.0,265.0
183,莊,閒,輸,100,-100.0,165.0
184,閒,莊,輸,100,-100.0,65.0
185,莊,莊,贏,100,95.0,160.0
186,莊,閒,輸,100,-100.0,60.0
187,閒,莊,輸,100,-100.0,-40.0
