round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,閒,莊,輸,100,-100.0,90.0
4,莊,莊,贏,100,95.0,185.0
5,莊,閒,輸,100,-100.0,85.0
6,莊,閒,輸,100,-100.0,-15.0
7,莊,閒,輸,100,-100.0,-115.0
8,莊,閒,輸,100,-100.0,-215.0
9,閒,閒,贏,100,100.0,-115.0
10,莊,莊,贏,100,95.0,-20.0
11,莊,莊,贏,100,95.0,75.0
12,莊,和,和局,0,0.0,75.0
13,莊,莊,贏,100,95.0,170.0
14,莊,閒,輸,100,-100.0,70.0
15,莊,閒,輸,100,-100.0,-30.0
16,莊,閒,輸,100,-100.0,-130.0
17,閒,莊,輸,100,-100.0,-230.0
18,莊,閒,輸,100,-100.0,-330.0
19,閒,莊,輸,100,-100.0,-430.0
20,閒,閒,贏,100,100.0,-330.0
21,莊,閒,輸,100,-100.0,-430.0
22,莊,莊,贏,100,95.0,-335.0
23,閒,莊,輸,100,-100.0,-435.0
24,閒,莊,輸,100,-100.0,-535.0
25,閒,閒,贏,100,100.0,-435.0
26,莊,莊,贏,100,95.0,-340.0
27,莊,閒,輸,100,-100.0,-440.0
28,閒,莊,輸,100,-100.0,-540.0
29,莊,閒,輸,100,-100.0,-640.0
30,莊,莊,贏,100,95.0,-545.0
31,閒,閒,贏,100,100.0,-445.0
32,莊,閒,輸,100,-100.0,-545.0
33,閒,閒,贏,100,100.0,-445.0
34,閒,和,和局,0,0.0,-445.0
35,閒,和,和局,0,0.0,-445.0
36,莊,和,和局,0,0.0,-445.0
37,閒,和,和局,0,0.0,-445.0
38,莊,莊,贏,100,95.0,-350.0
39,閒,閒,贏,100,100.0,-250.0
40,莊,閒,輸,100,-100.0,-350.0
41,閒,莊,輸,100,-100.0,-450.0
42,閒,和,和局,0,0.0,-450.0
43,莊,閒,輸,100,-100.0,-550.0
44,莊,和,和局,0,0.0,-550.0
45,莊,莊,贏,100,95.0,-455.0
46,莊,閒,輸,100,-100.0,-555.0
47,閒,閒,贏,100,100.0,-455.0
48,莊,和,和局,0,0.0,-455.0
49,莊,閒,輸,100,-100.0,-555.0
50,莊,莊,贏,100,95.0,-460.0
51,閒,閒,贏,100,100.0,-360.0
52,閒,莊,輸,100,-100.0,-460.0
53,閒,閒,贏,100,100.0,-360.0
54,閒,莊,輸,100,-100.0,-460.0
55,莊,莊,贏,100,95.0,-365.0
56,閒,莊,輸,100,-100.0,-465.0
57,閒,莊,輸,100,-100.0,-565.0
58,莊,閒,輸,100,-100.0,-665.0
59,閒,莊,輸,100,-100.0,-765.0
60,莊,和,和局,0,0.0,-765.0
61,莊,莊,贏,100,95.0,-670.0
62,莊,閒,輸,100,-100.0,-770.0
63,莊,莊,贏,100,95.0,-675.0
64,閒,閒,贏,100,100.0,-575.0
65,閒,和,和局,0,0.0,-575.0
66,閒,莊,輸,100,-100.0,-675.0
67,莊,莊,贏,100,95.0,-580.0
68,閒,莊,輸,100,-100.0,-680.0
69,莊,和,和局,0,0.0,-680.0
70,莊,莊,贏,100,95.0,-585.0
71,莊,莊,贏,100,95.0,-490.0
72,閒,莊,輸,100,-100.0,-590.0
73,閒,莊,輸,100,-100.0,-690.0
74,閒,莊,輸,100,-100.0,-790.0
75,莊,莊,贏,100,95.0,-695.0
76,莊,閒,輸,100,-100.0,-795.0
77,閒,閒,贏,100,100.0,-695.0
78,莊,莊,贏,100,95.0,-600.0
79,閒,閒,贏,100,100.0,-500.0
80,閒,莊,輸,100,-100.0,-600.0
81,閒,莊,輸,100,-100.0,-700.0
82,莊,閒,輸,100,-100.0,-800.0
83,閒,閒,贏,100,100.0,-700.0
84,莊,莊,贏,100,95.0,-605.0
85,莊,莊,贏,100,95.0,-510.0
86,閒,莊,輸,100,-100.0,-610.0
87,閒,閒,贏,100,100.0,-510.0
88,閒,閒,贏,100,100.0,-410.0
89,閒,莊,輸,100,-100.0,-510.0
90,莊,莊,贏,100,95.0,-415.0
91,莊,莊,贏,100,95.0,-320.0
92,閒,莊,輸,100,-100.0,-420.0
93,莊,閒,輸,100,-100.0,-520.0
94,莊,閒,輸,100,-100.0,-620.0
95,莊,莊,贏,100,95.0,-525.0
96,莊,閒,輸,100,-100.0,-625.0
97,莊,閒,輸,100,-100.0,-725.0
98,閒,莊,輸,100,-100.0,-825.0
99,莊,莊,贏,100,95.0,-730.0
100,閒,閒,贏,100,100.0,-630.0
101,閒,莊,輸,100,-100.0,-730.0
102,閒,和,和局,0,0.0,-730.0
103,閒,莊,輸,100,-100.0,-830.0
104,莊,莊,贏,100,95.0,-735.0
105,莊,和,和局,0,0.0,-735.0
106,閒,閒,贏,100,100.0,-635.0
107,閒,和,和局,0,0.0,-635.0
108,莊,閒,輸,100,-100.0,-735.0
109,閒,閒,贏,100,100.0,-635.0
110,閒,莊,輸,100,-100.0,-735.0
111,莊,莊,贏,100,95.0,-640.0
112,閒,閒,贏,100,100.0,-540.0
113,莊,閒,輸,100,-100.0,-640.0
114,閒,閒,贏,100,100.0,-540.0
115,莊,和,和局,0,0.0,-540.0
116,莊,莊,贏,100,95.0,-445.0
117,閒,莊,輸,100,-100.0,-545.0
118,莊,閒,輸,100,-100.0,-645.0
119,莊,莊,贏,100,95.0,-550.0
120,閒,莊,輸,100,-100.0,-650.0
121,莊,閒,輸,100,-100.0,-750.0
122,莊,閒,輸,100,-100.0,-850.0
123,閒,莊,輸,100,-100.0,-950.0
124,閒,莊,輸,100,-100.0,-1050.0
125,莊,莊,贏,100,95.0,-955.0
126,莊,閒,輸,100,-100.0,-1055.0
127,閒,閒,贏,100,100.0,-955.0
128,閒,閒,贏,100,100.0,-855.0
129,莊,莊,贏,100,95.0,-760.0
130,莊,和,和局,0,0.0,-760.0
131,莊,閒,輸,100,-100.0,-860.0
132,莊,莊,贏,100,95.0,-765.0
133,莊,莊,贏,100,95.0,-670.0
134,閒,閒,贏,100,100.0,-570.0
135,莊,閒,輸,100,-100.0,-670.0
136,莊,莊,贏,100,95.0,-575.0
137,莊,閒,輸,100,-100.0,-675.0
138,閒,莊,輸,100,-100.0,-775.0
139,莊,莊,贏,100,95.0,-680.0
140,閒,閒,贏,100,100.0,-580.0
141,閒,閒,贏,100,100.0,-480.0
142,莊,莊,贏,100,95.0,-385.0
143,莊,莊,贏,100,95.0,-290.0
144,閒,閒,贏,100,100.0,-190.0
145,閒,閒,贏,100,100.0,-90.0
146,閒,閒,贏,100,100.0,10.0
147,閒,閒,贏,100,100.0,110.0
148,閒,閒,贏,100,100.0,210.0
149,莊,莊,贏,100,95.0,305.0
150,莊,閒,輸,100,-100.0,205.0
151,莊,閒,輸,100,-100.0,105.0
152,莊,閒,輸,100,-100.0,5.0
153,閒,和,和局,0,0.0,5.0
154,莊,莊,贏,100,95.0,100.0
155,莊,莊,贏,100,95.0,195.0
156,莊,莊,贏,100,95.0,290.0
157,莊,莊,贏,100,95.0,385.0
158,莊,閒,輸,100,-100.0,285.0
159,莊,閒,輸,100,-100.0,185.0
160,莊,閒,輸,100,-100.0,85.0
161,莊,閒,輸,100,-100.0,-15.0
162,莊,閒,輸,100,-100.0,-115.0
163,閒,莊,輸,100,-100.0,-215.0
164,莊,莊,贏,100,95.0,-120.0
165,莊,莊,贏,100,95.0,-25.0
166,閒,閒,贏,100,100.0,75.0
167,閒,莊,輸,100,-100.0,-25.0
168,莊,莊,贏,100,95.0,70.0
169,莊,莊,贏,100,95.0,165.0
170,閒,閒,贏,100,100.0,265.0
171,莊,莊,贏,100,95.0,360.0
172,閒,閒,贏,100,100.0,460.0
173,閒,莊,輸,100,-100.0,360.0
174,莊,閒,輸,100,-100.0,260.0
175,莊,閒,輸,100,-100.0,160.0
176,莊,閒,輸,100,-100.0,60.0
177,閒,莊,輸,100,-100.0,-40.0
178,閒,閒,贏,100,100.0,60.0
179,閒,莊,輸,100,-100.0,-40.0
180,閒,莊,輸,100,-100.0,-140.0
181,閒,莊,輸,100,-100.0,-240.0
182,莊,莊,贏,100,95.0,-145.0
183,莊,閒,輸,100,-100.0,-245.0
184,莊,莊,贏,100,95.0,-150.0
185,閒,莊,輸,100,-100.0,-250.0
